id;rubric_id;Наименование;Цена;ИмяФайлаИзображения;Ед. изм.;Ду;Масса, кг;Мощность, Вт;Примечание;Описание;Напряжение, В;Изготовитель;Конструкционные особенности;Напряжение В, 50 Гц;Номинальный ток, Ih (A);Габаритные размеры, мм;Применение;Область применения;Артикул произв.;Длина, м;Диаметр наружный, мм;Комплект поставки;Размер;Высота, мм;Обьём, л;Производитель;L, мм;Страна изготовитель;Длина, мм;Ширина, мм;B, мм;Присоединение;Ру, МПа;Кол-во секций;Тип;Толщ. стенки, мм;D трубы наружный, мм;DN, мм;d наружный ;d внутренний;Масса 1 м.п., кг;Резьба;Габаритные размеры;Мощность, кВт;Частота вращения, об/мин;Класс защиты;**;Пропускная способность л/с;Цвет;Материал;Толщина стенки S, мм;Регламентирующий документ;номинальная нагрузка;Полное открытие;Давление, bar;Температура, С ;Номинальный расход, м3/час Qn;Длина ножки;Длина шкалы, мм;Q nom, м3/час;H nom, м;Dу фланца;Номинальны напор, м;Напор, м;Подача, м3/ч;Монтажная длина/высота, мм;Патрубок вход/выход, DN;Насос;Напорный патрубок, Ду;Материал корпуса;Глубина, мм;Тип затвора;Объем, мл;Управление;КПД;Кол-во контуров;Высота Н закрыто, мм;Высота Н1 открыто, мм;Вес, кг;Kvs, м3/ч;Полная высота клапана с приводом, мм;Тип привода;Kvy, м3/час;Калибровка (bar);Материал уплотнения;Резьба, дюймы;Время поворота, с;Максимальное растяжение, Lе;Межосевое расстояние;Межцентровое расстояние;Номинальный тепловой поток 1 секции, кВт;H, мм;Ду (стальная труба), мм;D наружный ;D2 наружный, мм;Толщина стенки s, мм;R,мм;Толщина, мм;Для труб стальных Ду;Обозначение по ГОСТ;Ширина полки, мм;Размер ячейки;Крепеж;Резьба, мм;Длина излива,мм
8382;108836;Крестовина ПП для внутр. канализации;0;krestovina_pp_vnytr_kan_certus.jpg;шт;50х50х90°;0,120;;;;;Certus;;;;;;Системы наружной, внутренней канализации и дренажа;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8381;108836;Крестовина ПП для внутр. канализации;0;krestovina_pp_vnytr_kan_110_50_90_certus.jpg;шт;110х50х90°;0,240;;;;;Certus;;;;;;Системы наружной, внутренней канализации и дренажа;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8376;108836;Крестовина ПП для внутр. канализации;0;krestovina_pp_vnytr_kan_certus.jpg;шт;110х110х45°;0,440;;;;;Certus;;;;;;Системы наружной, внутренней канализации и дренажа;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8380;108836;Крестовина ПП для внутр. канализации;0;krestovina_pp_vnytr_kan_certus.jpg;шт;110х110х90°;0,370;;;;;Certus;;;;;;Системы наружной, внутренней канализации и дренажа;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
109054;109053;Трап PP HL 310N;157,44;Trap_HL310N.jpg;шт;;;;Максимальная разрешенная нагрузка - 300 кг;;;HL Hutterer & Lechner GmbH;С вертикальным выпуском, решетка из нерж. стали HL;;;;;Системы наружной, внутренней канализации и дренажа;004-0005;;;;Dn50/75/110;;;;;;;;;;;;;;;;;;;;;;;;;0,67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
109055;109053;Трап PP HL 310NPR;165,78;Trap_HL310NPr.jpg;шт;;;;"Максимальная разрешенная нагрузка - 300 кг, трап с ""сухим"" сифоном";;;HL Hutterer & Lechner GmbH;С вертикальным выпуском,  решетка из нерж. стали, сухой сифон Primus;;;;;Системы наружной, внутренней канализации и дренажа;004-0006;;;;Dn50/75/110;;;;;;;;;;;;;;;;;;;;;;;;;0,50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
109056;109053;Трап PP HL 510N;128,52;Trap_HL510N.jpg;шт;;;;Максимальная разрешенная нагрузка - 300 кг;;;HL Hutterer & Lechner GmbH;С горизонтальным выпуском, решетка из нерж. стали в подрамнике HL;;;;;Системы наружной, внутренней канализации и дренажа;004-0009;;;;Dn40/50;;;;;;;;;;;;;;;;;;;;;;;;;0,55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
109057;109053;Трап PP HL 510NPR;118,98;Trap_HL510NPr.jpg;шт;;;;"Максимальная разрешенная нагрузка - 300 кг, трап с ""сухим"" сифоном";;;HL Hutterer & Lechner GmbH;С горизонтальным выпуском, решетка из нерж. стали, сухой сифон Primus;;;;;Системы наружной, внутренней канализации и дренажа;004-0010;;;;Dn40/50;;;;;;;;;;;;;;;;;;;;;;;;;0,50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
110345;111783;APV1 Сливной трап, бок. подводка, гидрозатвор – мокрый;26,16;APV1_Sliv_trap_bok_podvod_gidrozatvor_mokryj_Santex.jpg;шт;;0,450;;Сток воды  - 46 л/мин;;;Alcaplast;;;;;;Сантехническая посуда и оборудование;;;;;105x105/50;;;;;;;;;;;;;;;;;;;;;;;;;;;Решетка – нержавеющая сталь;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
110346;111783;APV2 Сливной трап, подводка – прямая, гидрозатвор – мокрый;26,16;APV2_Sliv_trap_podvodka_pr_gidrozatvor_mokryj_Santex.jpg;шт;;0,450;;Сток воды  - 46 л/мин;;;Alcaplast;;;;;;Сантехническая посуда и оборудование;;;;;105x105/50;;;;;;;;;;;;;;;;;;;;;;;;;;;Решетка – нержавеющая сталь;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
110751;111783;APV13 Сливной трап, подводка – прямая, воротник – 2-х ур. изоляция, гидрозатвор – мокрый;65,34;APV13_Sliv_trap_podvodka_pr_Santex.jpg;шт;;0,600;;Сток воды  - 48 л/мин;;;Alcaplast;;;;;;Сантехническая посуда и оборудование;;;;;150?150/110;;;;;;;;;;;;;;;;;;;;;;;;;;;Решетка – нержавеющая сталь;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
110347;111783;APV31 Сливной трап, бок. подводка, комбинир. гидрозатвор SMART;33,96;APV31_Sliv_trap_podvodka_bok_komb_zatvor_SMART_Santex.jpg;шт;;0,470;;Сток воды  - 37 л/мин;;;Alcaplast;;;;;;Сантехническая посуда и оборудование;;;;;105x105/50;;;;;;;;;;;;;;;;;;;;;;;;;;;Решетка – нержавеющая сталь;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
110348;111783;APV32 Сливной трап, подводка – прямая, комбинир. гидрозатвор SMART;33,96;APV32_Sliv_trap_podvodka_pr_komb_zatvor_SMART_Santex.jpg;шт;;0,470;;Сток воды  - 37 л/мин;;;Alcaplast;;;;;;Сантехническая посуда и оборудование;;;;;105x105/50;;;;;;;;;;;;;;;;;;;;;;;;;;;Решетка – нержавеющая сталь;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
111797;111793;Клапан обратный ПП для внутренней канализации тип А;35,16;Klapan_obrat_ceryj_Fas_chasti_PP_vnytr_kanaliz.jpg;шт;;0,150;;;;;Karmat;;;;;;Системы наружной, внутренней канализации и дренажа;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Серый;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
